step 1, training cost 12687.1
step 51, training cost 4359.25
step 101, training cost 4716.92
step 151, training cost 4722.97
step 201, training cost 4304.95
step 251, training cost 4299.24
step 301, training cost 4687.58
step 351, training cost 4010.3
step 401, training cost 3436.4
step 451, training cost 3070.76
step 501, training cost 2391.63
step 551, training cost 2566.82
step 601, training cost 2029.88
step 651, training cost 934.004
step 701, training cost 582.228
step 751, training cost 721.269
step 801, training cost 129.721
step 851, training cost 123.076
step 901, training cost 51.0923
step 951, training cost 720.506
step 1001, training cost 50.0029
step 1051, training cost 38.8382
step 1101, training cost 13.3216
step 1151, training cost 125.35
step 1201, training cost 18.7914
step 1251, training cost 8.90148
step 1301, training cost 7.56717
step 1351, training cost 10.7292
step 1401, training cost 11.7153
step 1451, training cost 83.7762
step 1501, training cost 6.04808
step 1551, training cost 13.8312
step 1601, training cost 9.24067
step 1651, training cost 8.67138
step 1701, training cost 97.5376
step 1751, training cost 46.6129
step 1801, training cost 8.49031
step 1851, training cost 7.65584
step 1901, training cost 27.3473
step 1951, training cost 7.49089
step 2001, training cost 7.77089
step 2051, training cost 44.4403
step 2101, training cost 83.7191
step 2151, training cost 18.0167
step 2201, training cost 7.58056
step 2251, training cost 6.49573
step 2301, training cost 6.0095
step 2351, training cost 8.80877
step 2401, training cost 6.63441
step 2451, training cost 7.0438
step 2501, training cost 47.5561
step 2551, training cost 8.5079
step 2601, training cost 22.2839
step 2651, training cost 7.30801
step 2701, training cost 7.5009
step 2751, training cost 8.35971
step 2801, training cost 7.99262
step 2851, training cost 7.00485
step 2901, training cost 13.4933
step 2951, training cost 1404.53
step 3001, training cost 117.38
step 3051, training cost 9.31181
step 3101, training cost 11.213
step 3151, training cost 7.09364
step 3201, training cost 24.0967
step 3251, training cost 8.61105
step 3301, training cost 6.73915
step 3351, training cost 7.03089
step 3401, training cost 12.903
step 3451, training cost 8.30812
step 3501, training cost 29.7361
step 3551, training cost 7.43227
step 3601, training cost 8.54756
step 3651, training cost 6.6969
step 3701, training cost 7.10689
step 3751, training cost 6.69795
step 3801, training cost 6.76875
step 3851, training cost 6.95163
step 3901, training cost 6.99465
step 3951, training cost 12.4549
step 4001, training cost 10.0095
step 4051, training cost 113.591
step 4101, training cost 7.0252
step 4151, training cost 200.686
step 4201, training cost 7.21144
step 4251, training cost 180.983
step 4301, training cost 530.77
step 4351, training cost 30.9068
step 4401, training cost 6.91978
step 4451, training cost 62.1557
step 4501, training cost 6.90109
step 4551, training cost 6.74756
step 4601, training cost 6.96142
step 4651, training cost 15.9115
step 4701, training cost 6.65103
step 4751, training cost 10.0636
step 4801, training cost 9.9272
step 4851, training cost 24.7732
step 4901, training cost 7.06472
step 4951, training cost 7.24441
